NumNacional,Nombre,NombreJapo,Evoluciona,Generación,Categoría,Tipos,Habilidad,Hab.Oculta,Peso,Altura,GrupoHuevo,Sexo,Color,PS_Max,At_Max,Def_Max,AtEsp_Max,DefEsp_Max,Vel_Max,PE_PS,PE_At,PE_Def,PE_AtEsp,PE_DefEsp,PE_Vel
1,Bulbasaur,フシギダネ (Fushigidane),1,Primera,Semilla,planta|veneno,Espesura,Clorofila,"6,9","0,7",Monstruo|Planta,"87,5%|12,5%",Verde,294,216,216,251,251,207,0,0,0,1,0,0
2,Ivysaur,フシギソウ (Fushigisou),1,Primera,Semilla,planta|veneno,Espesura,Clorofila,13,1,Monstruo|Planta,"87,5%|12,5%",Verde,324,245,247,284,284,240,0,0,0,1,1,0
3,Venusaur,フシギバナ (Fushigibana),0,Primera,Semilla,planta|veneno,Espesura,Clorofila,100,2,Monstruo|Planta,"87,5%|12,5%",Verde,364,289,291,328,328,284,0,0,0,2,1,0
4,Charmander,ヒトカゲ (Hitokage),1,Primera,Lagartija,fuego,Mar llamas,Poder solar,"8,5","0,6",Monstruo|Dragón,"87,5%|12,5%",Rojo,282,223,203,240,218,251,0,0,0,0,0,1
5,Charmeleon,リザード (Lizardo),1,Primera,Llama,fuego,Mar llamas,Poder solar,19,"1,1",Monstruo|Dragón,"87,5%|12,5%",Rojo,320,249,236,284,251,284,0,0,0,1,0,1
6,Charizard,リザードン (Lizardon),0,Primera,Llama,fuego|volador,Mar llamas,Poder solar,"90,5","1,7",Monstruo|Dragón,"87,5%|12,5%",Rojo|Negro,360,293,280,348,295,328,0,0,0,3,0,0
7,Squirtle,ゼニガメ (Zenigame),1,Primera,Tortuguita,agua,Torrente,Cura lluvia,9,"0,5",Monstruo|Agua 1,"87,5%|12,5%",Azul,292,214,251,218,249,203,0,0,1,0,0,0
8,Wartortle,カメール (Kameil),1,Primera,Tortuga,agua,Torrente,Cura lluvia,"22,5",1,Monstruo|Agua 1,"87,5%|12,5%",Azul,322,247,284,251,284,236,0,0,1,0,1,0
9,Blastoise,カメックス (Kamex),0,Primera,Armazón2,agua,Torrente,Cura lluvia,"85,5","1,6",Monstruo|Agua 1,"87,5%|12,5%",Azul,362,291,328,295,339,280,0,0,0,0,3,0
10,Caterpie,キャタピー (Caterpie),1,Primera,Gusano,bicho,Polvo escudo,Fuga,"2,9","0,3",Bicho,50%|50%,Verde,294,174,185,152,152,207,1,0,0,0,0,0
